date,day_of_week,month,day
2025-10-29,Wednesday,10,29
2025-10-30,Thursday,10,30
2025-10-31,Friday,10,31
2025-11-01,Saturday,11,1
2025-11-02,Sunday,11,2
2025-11-03,Monday,11,3
2025-11-04,Tuesday,11,4
2025-11-05,Wednesday,11,5
2025-11-06,Thursday,11,6
2025-11-07,Friday,11,7
2025-11-08,Saturday,11,8
2025-11-09,Sunday,11,9
2025-11-10,Monday,11,10
2025-11-11,Tuesday,11,11
2025-11-12,Wednesday,11,12
2025-11-13,Thursday,11,13
2025-11-14,Friday,11,14
2025-11-15,Saturday,11,15
2025-11-16,Sunday,11,16
2025-11-17,Monday,11,17
2025-11-18,Tuesday,11,18
2025-11-19,Wednesday,11,19
2025-11-20,Thursday,11,20
2025-11-21,Friday,11,21
2025-11-22,Saturday,11,22
2025-11-23,Sunday,11,23
2025-11-24,Monday,11,24
2025-11-25,Tuesday,11,25
2025-11-26,Wednesday,11,26
2025-11-27,Thursday,11,27
